Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	900	1	5	02/24/25 10:05:59 AM	
131	900	3	5	02/24/25 10:06:04 AM	
132	900	8	5	02/24/25 10:06:09 AM	
133	900	2	5	02/24/25 10:06:14 AM	
134	900	7	5	02/24/25 10:06:19 AM	
135	900	4	5	02/24/25 10:06:24 AM	
136	900	7	5	02/24/25 10:06:30 AM	
137	900	7	5	02/24/25 10:06:35 AM	
138	900	3	5	02/24/25 10:06:40 AM	
139	900	4	5	02/24/25 10:06:45 AM	
140	900	9	5	02/24/25 10:06:50 AM	
141	900	4	5	02/24/25 10:06:56 AM	
142	900	2	5	02/24/25 10:07:01 AM	
143	900	8	5	02/24/25 10:07:06 AM	
144	900	4	5	02/24/25 10:07:11 AM	
145	900	3	5	02/24/25 10:07:17 AM	
146	900	2	5	02/24/25 10:07:22 AM	
147	900	6	5	02/24/25 10:07:27 AM	
148	900	2	5	02/24/25 10:07:32 AM	
149	900	9	5	02/24/25 10:07:37 AM	
150	900	6	5	02/24/25 10:07:43 AM	
